bloque,variable,etiqueta,celda,celda_rotulo,rotulo_esperado
poblacion,pob_total_h,"Población total, hombres",D12,B12,Total
poblacion,pob_total_m,"Población total, mujeres",E12,B12,Total
poblacion,pob_edad_0a19_h,"Población de 0 a 19 años, hombres",D13,B13,De 0 a 19
poblacion,pob_edad_0a19_m,"Población de 0 a 19 años, mujeres",E13,B13,De 0 a 19
poblacion,pob_edad_20a39_h,"Población de 20 a 39 años, hombres",D14,B14,De 20 a 39
poblacion,pob_edad_20a39_m,"Población de 20 a 39 años, mujeres",E14,B14,De 20 a 39
poblacion,pob_edad_40a59_h,"Población de 40 a 59 años, hombres",D15,B15,De 40 a 59
poblacion,pob_edad_40a59_m,"Población de 40 a 59 años, mujeres",E15,B15,De 40 a 59
poblacion,pob_edad_60ymas_h,"Población de 60 o más años, hombres",D16,B16,De 60 o más
poblacion,pob_edad_60ymas_m,"Población de 60 o más años, mujeres",E16,B16,De 60 o más
educacion,edu_total_h,"Población de 19 o más años, hombres",D21,B21,Total
educacion,edu_total_m,"Población de 19 o más años, mujeres",E21,B21,Total
educacion,edu_ninguno_h,"Nivel de instrucción ninguno, hombres",D22,B22,Ninguno
educacion,edu_ninguno_m,"Nivel de instrucción ninguno, mujeres",E22,B22,Ninguno
educacion,edu_primaria_h,"Nivel de instrucción primaria, hombres",D23,B23,Primaria
educacion,edu_primaria_m,"Nivel de instrucción primaria, mujeres",E23,B23,Primaria
educacion,edu_secundaria_h,"Nivel de instrucción secundaria, hombres",D24,B24,Secundaria
educacion,edu_secundaria_m,"Nivel de instrucción secundaria, mujeres",E24,B24,Secundaria
educacion,edu_superior_h,"Nivel de instrucción superior, hombres",D25,B25,Superior
educacion,edu_superior_m,"Nivel de instrucción superior, mujeres",E25,B25,Superior
educacion,edu_ns_h,"Nivel de instrucción sin especificar, hombres",D26,B26,Sin especificar
educacion,edu_ns_m,"Nivel de instrucción sin especificar, mujeres",E26,B26,Sin especificar
salud_lugar,salud_lugar_total_h,"Población que acude por problemas de salud, hombres",D31,B31,Total
salud_lugar,salud_lugar_total_m,"Población que acude por problemas de salud, mujeres",E31,B31,Total
salud_lugar,salud_lugar_centropublico_h,"Acude a puesto/centro/hospital de salud público, hombres",D32,B32,Puesto/centro/hospital de salud público
salud_lugar,salud_lugar_centropublico_m,"Acude a puesto/centro/hospital de salud público, mujeres",E32,B32,Puesto/centro/hospital de salud público
salud_lugar,salud_lugar_cajasalud_h,"Acude a caja de salud, hombres",D33,B33,Caja de salud
salud_lugar,salud_lugar_cajasalud_m,"Acude a caja de salud, mujeres",E33,B33,Caja de salud
salud_lugar,salud_lugar_centroprivado_h,"Acude a consultorio/clínica/hospital privado, hombres",D34,B34,Consultorio/clínica/ hospital de salud privado
salud_lugar,salud_lugar_centroprivado_m,"Acude a consultorio/clínica/hospital privado, mujeres",E34,B34,Consultorio/clínica/ hospital de salud privado
salud_lugar,salud_lugar_domicilio_h,"Acude a atención médica en domicilio, hombres",D35,B35,Atención médica en domicilio
salud_lugar,salud_lugar_domicilio_m,"Acude a atención médica en domicilio, mujeres",E35,B35,Atención médica en domicilio
salud_lugar,salud_lugar_tradicional_h,"Acude a médica(o) tradicional ancestral, hombres",D36,B36,Médica(o) tradicional ancestral
salud_lugar,salud_lugar_tradicional_m,"Acude a médica(o) tradicional ancestral, mujeres",E36,B36,Médica(o) tradicional ancestral
salud_lugar,salud_lugar_farmacia_h,"Acude a farmacia sin receta o se automedica, hombres",D37,B37,Farmacia sin receta médica o se automedica
salud_lugar,salud_lugar_farmacia_m,"Acude a farmacia sin receta o se automedica, mujeres",E37,B37,Farmacia sin receta médica o se automedica
salud_lugar,salud_lugar_casero_h,"Acude a remedios caseros, hombres",D38,B38,Remedios caseros
salud_lugar,salud_lugar_casero_m,"Acude a remedios caseros, mujeres",E38,B38,Remedios caseros
salud_seguro,salud_seguro_total_h,"Población con registro al SUS o seguro de salud, hombres",D41,B41,Total
salud_seguro,salud_seguro_total_m,"Población con registro al SUS o seguro de salud, mujeres",E41,B41,Total
salud_seguro,salud_seguro_sus_h,"Registrado al SUS, hombres",D42,B42,SUS (Sistema Único de Salud)
salud_seguro,salud_seguro_sus_m,"Registrado al SUS, mujeres",E42,B42,SUS (Sistema Único de Salud)
salud_seguro,salud_seguro_cajasalud_h,"Afiliado a caja de salud, hombres",D43,B43,Caja de salud
salud_seguro,salud_seguro_cajasalud_m,"Afiliado a caja de salud, mujeres",E43,B43,Caja de salud
salud_seguro,salud_seguro_privado_h,"Afiliado a seguro privado de salud, hombres",D44,B44,Seguro privado de salud
salud_seguro,salud_seguro_privado_m,"Afiliado a seguro privado de salud, mujeres",E44,B44,Seguro privado de salud
salud_seguro,salud_seguro_ninguno_h,"Sin seguro de salud, hombres",D45,B45,Ninguno
salud_seguro,salud_seguro_ninguno_m,"Sin seguro de salud, mujeres",E45,B45,Ninguno
salud_seguro,salud_seguro_ns_h,"Seguro de salud sin especificar, hombres",D46,B46,Sin especificar
salud_seguro,salud_seguro_ns_m,"Seguro de salud sin especificar, mujeres",E46,B46,Sin especificar
nacimiento,nac_total_h,"Población por lugar de nacimiento, hombres",I12,G12,Total
nacimiento,nac_total_m,"Población por lugar de nacimiento, mujeres",J12,G12,Total
nacimiento,nac_aqui_h,"Nacida aquí, hombres",I13,G13,Aquí
nacimiento,nac_aqui_m,"Nacida aquí, mujeres",J13,G13,Aquí
nacimiento,nac_otromun_h,"Nacida en otro municipio/TIOC del país, hombres",I14,G14,En otro municipio/TIOC del país
nacimiento,nac_otromun_m,"Nacida en otro municipio/TIOC del país, mujeres",J14,G14,En otro municipio/TIOC del país
nacimiento,nac_otropais_h,"Nacida en otro país, hombres",I15,G15,En otro país
nacimiento,nac_otropais_m,"Nacida en otro país, mujeres",J15,G15,En otro país
