"idep","nombre_dep","iprov","nombre_prov","imun","nombre_mun","id_municipio"
"01","Chuquisaca","01","Oropeza","01","Sucre","010101"
"01","Chuquisaca","01","Oropeza","02","Yotala","010102"
"01","Chuquisaca","01","Oropeza","03","Poroma","010103"
"01","Chuquisaca","02","Azurduy","01","Azurduy","010201"
"01","Chuquisaca","02","Azurduy","02","Tarvita","010202"
"01","Chuquisaca","03","Zudáñez","01","Zudáñez","010301"
"01","Chuquisaca","03","Zudáñez","02","Presto","010302"
"01","Chuquisaca","03","Zudáñez","03","Mojocoya","010303"
"01","Chuquisaca","03","Zudáñez","04","Icla","010304"
"01","Chuquisaca","04","Tomina","01","Padilla","010401"
"01","Chuquisaca","04","Tomina","02","Tomina","010402"
"01","Chuquisaca","04","Tomina","03","Sopachuy","010403"
"01","Chuquisaca","04","Tomina","04","Alcalá","010404"
"01","Chuquisaca","04","Tomina","05","El Villar","010405"
"01","Chuquisaca","05","Hernando Siles","01","Monteagudo","010501"
"01","Chuquisaca","05","Hernando Siles","02","Huacareta","010502"
"01","Chuquisaca","06","Yamparáez","01","Tarabuco","010601"
"01","Chuquisaca","06","Yamparáez","02","Yamparáez","010602"
"01","Chuquisaca","07","Nor Cinti","01","Camargo","010701"
"01","Chuquisaca","07","Nor Cinti","02","San Lucas","010702"
"01","Chuquisaca","07","Nor Cinti","03","Incahuasi","010703"
"01","Chuquisaca","07","Nor Cinti","04","Villa Charcas","010704"
"01","Chuquisaca","08","Belisario Boeto","01","Villa Serrano","010801"
"01","Chuquisaca","09","Sud Cinti","01","Villa Abecia","010901"
"01","Chuquisaca","09","Sud Cinti","02","Culpina","010902"
"01","Chuquisaca","09","Sud Cinti","03","Las Carreras","010903"
"01","Chuquisaca","10","Luis Calvo","01","Villa Vaca Guzmán","011001"
"01","Chuquisaca","10","Luis Calvo","02","Huacaya (Autonomía Guaraní Chaqueño de Huacaya)","011002"
"01","Chuquisaca","10","Luis Calvo","03","Macharetí","011003"
"02","La Paz","01","Murillo","01","Nuestra Señora de La Paz","020101"
"02","La Paz","01","Murillo","02","Palca","020102"
"02","La Paz","01","Murillo","03","Mecapaca","020103"
"02","La Paz","01","Murillo","04","Achocalla","020104"
"02","La Paz","01","Murillo","05","El Alto","020105"
"02","La Paz","02","Omasuyos","01","Achacachi","020201"
"02","La Paz","02","Omasuyos","02","Villa Ancoraimes","020202"
"02","La Paz","02","Omasuyos","03","Huarina","020203"
"02","La Paz","02","Omasuyos","04","Santiago de Huata","020204"
"02","La Paz","02","Omasuyos","05","Huatajata","020205"
"02","La Paz","02","Omasuyos","06","Chua Cocani","020206"
"02","La Paz","03","Pacajes","01","Corocoro","020301"
"02","La Paz","03","Pacajes","02","Caquiaviri","020302"
"02","La Paz","03","Pacajes","03","Calacoto","020303"
"02","La Paz","03","Pacajes","04","Comanche","020304"
"02","La Paz","03","Pacajes","05","Charaña","020305"
"02","La Paz","03","Pacajes","06","Waldo Ballivián","020306"
"02","La Paz","03","Pacajes","07","Nazacara de Pacajes","020307"
"02","La Paz","03","Pacajes","08","Santiago de Callapa","020308"
"02","La Paz","04","Camacho","01","Puerto Acosta","020401"
"02","La Paz","04","Camacho","02","Mocomoco","020402"
"02","La Paz","04","Camacho","03","Puerto Mayor de Carabuco","020403"
"02","La Paz","04","Camacho","04","Humanata","020404"
"02","La Paz","04","Camacho","05","Escoma","020405"
"02","La Paz","05","Muñecas","01","Chuma","020501"
"02","La Paz","05","Muñecas","02","Ayata","020502"
"02","La Paz","05","Muñecas","03","Aucapata","020503"
"02","La Paz","06","Larecaja","01","Sorata","020601"
"02","La Paz","06","Larecaja","02","Guanay","020602"
"02","La Paz","06","Larecaja","03","Tacacoma","020603"
"02","La Paz","06","Larecaja","04","Quiabaya","020604"
"02","La Paz","06","Larecaja","05","Combaya","020605"
"02","La Paz","06","Larecaja","06","Tipuani","020606"
"02","La Paz","06","Larecaja","07","Mapiri","020607"
"02","La Paz","06","Larecaja","08","Teoponte","020608"
"02","La Paz","07","Franz Tamayo","01","Apolo","020701"
"02","La Paz","07","Franz Tamayo","02","Pelechuco","020702"
"02","La Paz","08","Ingavi","01","Viacha","020801"
"02","La Paz","08","Ingavi","02","Puerto Mayor de Guaqui","020802"
"02","La Paz","08","Ingavi","03","Tiahuanacu","020803"
"02","La Paz","08","Ingavi","04","Desaguadero","020804"
"02","La Paz","08","Ingavi","05","La (Marka) San Andrés de Machaca","020805"
"02","La Paz","08","Ingavi","06","Jesús de Machaka","020806"
"02","La Paz","08","Ingavi","07","Taraco","020807"
"02","La Paz","09","Loayza","01","Luribay","020901"
"02","La Paz","09","Loayza","02","Sapahaqui","020902"
"02","La Paz","09","Loayza","03","Yaco","020903"
"02","La Paz","09","Loayza","04","Malla","020904"
"02","La Paz","09","Loayza","05","Cairoma","020905"
"02","La Paz","10","Inquisivi","01","Inquisivi","021001"
"02","La Paz","10","Inquisivi","02","Quime","021002"
"02","La Paz","10","Inquisivi","03","Cajuata","021003"
"02","La Paz","10","Inquisivi","04","Colquiri","021004"
"02","La Paz","10","Inquisivi","05","Ichoca","021005"
"02","La Paz","10","Inquisivi","06","Villa Libertad Licoma","021006"
"02","La Paz","11","Sur Yungas","01","Chulumani","021101"
"02","La Paz","11","Sur Yungas","02","Irupana","021102"
"02","La Paz","11","Sur Yungas","03","Yanacachi","021103"
"02","La Paz","11","Sur Yungas","04","Palos Blancos","021104"
"02","La Paz","11","Sur Yungas","05","La Asunta","021105"
"02","La Paz","12","Los Andes","01","Pucarani","021201"
"02","La Paz","12","Los Andes","02","Laja","021202"
"02","La Paz","12","Los Andes","03","Batallas","021203"
"02","La Paz","12","Los Andes","04","Puerto Pérez","021204"
"02","La Paz","13","Aroma","01","Sicasica","021301"
"02","La Paz","13","Aroma","02","Umala","021302"
"02","La Paz","13","Aroma","03","Ayo Ayo","021303"
"02","La Paz","13","Aroma","04","Calamarca","021304"
"02","La Paz","13","Aroma","05","Patacamaya","021305"
"02","La Paz","13","Aroma","06","Colquencha","021306"
"02","La Paz","13","Aroma","07","Collana","021307"
"02","La Paz","14","Nor Yungas","01","Coroico","021401"
"02","La Paz","14","Nor Yungas","02","Coripata","021402"
"02","La Paz","15","Abel Iturralde","01","Ixiamas","021501"
"02","La Paz","15","Abel Iturralde","02","San Buenaventura","021502"
"02","La Paz","16","Bautista Saavedra","01","Charazani","021601"
"02","La Paz","16","Bautista Saavedra","02","Curva","021602"
"02","La Paz","17","Manco Kapac","01","Copacabana","021701"
"02","La Paz","17","Manco Kapac","02","San Pedro de Tiquina","021702"
"02","La Paz","17","Manco Kapac","03","Tito Yupanqui","021703"
"02","La Paz","18","Gualberto Villarroel","01","San Pedro de Curahuara","021801"
"02","La Paz","18","Gualberto Villarroel","02","Papel Pampa","021802"
"02","La Paz","18","Gualberto Villarroel","03","Chacarilla","021803"
"02","La Paz","19","General José Manuel Pando","01","Santiago de Machaca","021901"
"02","La Paz","19","General José Manuel Pando","02","Catacora","021902"
"02","La Paz","20","Caranavi","01","Caranavi","022001"
"02","La Paz","20","Caranavi","02","Alto Beni","022002"
"03","Cochabamba","01","Cercado","01","Cochabamba","030101"
"03","Cochabamba","02","Campero","01","Aiquile","030201"
"03","Cochabamba","02","Campero","02","Pasorapa","030202"
"03","Cochabamba","02","Campero","03","Omereque","030203"
"03","Cochabamba","03","Ayopaya","01","Ayopaya","030301"
"03","Cochabamba","03","Ayopaya","02","Morochata","030302"
"03","Cochabamba","03","Ayopaya","03","Cocapata","030303"
"03","Cochabamba","04","Esteban Arze","01","Tarata","030401"
"03","Cochabamba","04","Esteban Arze","02","Anzaldo","030402"
"03","Cochabamba","04","Esteban Arze","03","Arbieto","030403"
"03","Cochabamba","04","Esteban Arze","04","Sacabamba","030404"
"03","Cochabamba","05","Arani","01","Arani","030501"
"03","Cochabamba","05","Arani","02","Vacas","030502"
"03","Cochabamba","06","Arque","01","Arque","030601"
"03","Cochabamba","06","Arque","02","Tacopaya","030602"
"03","Cochabamba","07","Capinota","01","Capinota","030701"
"03","Cochabamba","07","Capinota","02","Santiváñez","030702"
"03","Cochabamba","07","Capinota","03","Sicaya","030703"
"03","Cochabamba","08","Germán Jordán","01","Cliza","030801"
"03","Cochabamba","08","Germán Jordán","02","Toco","030802"
"03","Cochabamba","08","Germán Jordán","03","Tolata","030803"
"03","Cochabamba","09","Quillacollo","01","Quillacollo","030901"
"03","Cochabamba","09","Quillacollo","02","Sipesipe","030902"
"03","Cochabamba","09","Quillacollo","03","Tiquipaya","030903"
"03","Cochabamba","09","Quillacollo","04","Vinto","030904"
"03","Cochabamba","09","Quillacollo","05","Colcapirhua","030905"
"03","Cochabamba","10","Chapare","01","Sacaba","031001"
"03","Cochabamba","10","Chapare","02","Colomi","031002"
"03","Cochabamba","10","Chapare","03","Villa Tunari","031003"
"03","Cochabamba","11","Tapacarí","01","Tapacarí","031101"
"03","Cochabamba","12","Carrasco","01","Totora","031201"
"03","Cochabamba","12","Carrasco","02","Pojo","031202"
"03","Cochabamba","12","Carrasco","03","Pocona","031203"
"03","Cochabamba","12","Carrasco","04","Chimoré","031204"
"03","Cochabamba","12","Carrasco","05","Puerto Villarroel","031205"
"03","Cochabamba","12","Carrasco","06","Entre Ríos","031206"
"03","Cochabamba","13","Mizque","01","Mizque","031301"
"03","Cochabamba","13","Mizque","02","Vila Vila","031302"
"03","Cochabamba","13","Mizque","03","Alalay","031303"
"03","Cochabamba","13","Mizque","04","TIOC-Raqaypampa","031304"
"03","Cochabamba","14","Punata","01","Punata","031401"
"03","Cochabamba","14","Punata","02","Villa Rivero","031402"
"03","Cochabamba","14","Punata","03","San Benito","031403"
