"variable_ddi","tabla","variable_cb","labl_ddi","etiqueta_cb","nota"
"I_BC_VIV","discapacidad",,"Id_BoletaCensalVivienda",,"no se empareja: identificador"
"I00_FOLIO","discapacidad",,"Número de Folio",,"no se empareja: identificador"
"I02_DEPTO","discapacidad",,"Departamento",,"no se empareja: geografia"
"I03_PROV","discapacidad",,"Provincia",,"no se empareja: geografia"
"ID_BC_DISC","discapacidad",,"ID Boleta Censal Dificultad",,"no se empareja: identificador"
"P22A_NRO","discapacidad",,"Numero de la Persona",,"no se empareja: identificador"
"P22D_EDAD","discapacidad","P22D","Edad","Edad",
"P22E_SEXO","discapacidad","P22E","Sexo","Sexo",
"P22F1_VER","discapacidad","P22F1","Dificultad de ver","Dificultad para ver",
"P22F2_OIR","discapacidad",,"Dificultad de oir",,"sin candidato"
"P22F3_HABLAR","discapacidad","P22F3","Dificultad de hablar","Dificultad de hablar",
"P22F4_CAMINAR","discapacidad","P22F4","Dificultad de caminar","Dificultad de caminar",
"P22F5_RECORDAR","discapacidad","P22F5","Dificultad de recordar","Dificultad de recordar",
"I_BC_VIV","emigracion",,"Id_Boleta Censal Vivienda",,"no se empareja: identificador"
"I00_FOLIO","emigracion",,"Número de Folio",,"no se empareja: identificador"
"I02_DEPTO","emigracion",,"Departamento",,"no se empareja: geografia"
"I03_PROV","emigracion",,"Provincia",,"no se empareja: geografia"
"ID_BC_EMIG","emigracion",,"Id_Boleta Censa lEmigracion",,"no se empareja: identificador"
"P20A_NRO","emigracion",,"Numero de la Persona",,"no se empareja: identificador"
"P20E_SEXO","emigracion","P20E","Sexo","Sexo",
"P20F_ANO","emigracion","P20F","Año de salida del pais","Año de salida del pais",
"P20G_EDAD","emigracion","P20G","A que edad se fue","A que edad se fue",
"P20H_PAIS","emigracion","P20J","País donde vive actualmente",,"mismo dato, sufijo distinto en REDATAM"
"I_BC_VIV","mortalidad",,"Id_BoletaCensalVivienda",,"no se empareja: identificador"
"I00_FOLIO","mortalidad",,"Número de Folio",,"no se empareja: identificador"
"I02_DEPTO","mortalidad",,"Departamento",,"no se empareja: geografia"
"I03_PROV","mortalidad",,"Provincia",,"no se empareja: geografia"
"I04_SECC","mortalidad",,"Seccion",,"no se empareja: geografia"
"ID_BC_MORT","mortalidad",,"Id Boleta Censal Mortalidad",,"no se empareja: identificador"
"P21A_NRO","mortalidad",,"NumeroPersona",,"no se empareja: identificador"
"P21E_EDAD","mortalidad",,"Edad de la Persona al morir",,"sin candidato"
"P21F_SEXO","mortalidad",,"Sexo",,"sin candidato"
"P21G_CAUSA","mortalidad",,"Causa de la muerte",,"sin candidato"
"I_BC_VIV","persona",,"Id_BoletaCensalVivienda",,"no se empareja: identificador"
"I00_FOLIO","persona",,"Número de Folio",,"no se empareja: identificador"
"I02_DEPTO","persona",,"Departamento",,"no se empareja: geografia"
"I03_PROV","persona",,"Provincia",,"no se empareja: geografia"
"I21_NROVIV","persona",,"Número de orden de la vivienda",,"no se empareja: identificador"
"ID_BC_PERS","persona",,"Id_BoletaCensalPersona",,"no se empareja: identificador"
"P23_NUEVO_NROPER","persona",,"Nuevo numero de persona",,"no se empareja: identificador"
"P23_PARENTES","persona","P23","23. Relación de parentesco con jefa o jefe del hogar","Relación de parentesco con jefa o jefe del hogar",
"P24_SEXO","persona","P24","24. Es mujer u hombre","¿Es mujer u hombre?",
"P25_EDAD","persona","P25","25. Cuantos años cumplidos tiene","Cuantos años cumplidos tiene",
"P26_REGIS","persona","P26","26.inscrición al registro civil","Su nacimiento está inscrito en el registro civil o cívico","etiquetas distintas, mismo dato: inscripcion en registro civil"
"P27_CARNET","persona","P27","27. ¿Tiene carnet o cédula de identidad?","Tiene carnet o cédula de identidad",
