"anio","tabla","variable","tema","origen","pregunta","bloque","etiqueta","nota"
2012,"depto","NDEPTO","ubicacion_geografica","geografia",,,"Departamento",
2012,"depto","I02","ubicacion_geografica","geografia",,,"Id. Departamento",
2012,"depto","REDCODEN","ubicacion_geografica","geografia",,,"Código geográfico REDATAM",
2012,"provin","NPROV","ubicacion_geografica","geografia",,,"Provincia",
2012,"provin","I03","ubicacion_geografica","geografia",,,"Id. Provincia",
2012,"provin","REDCODEN","ubicacion_geografica","geografia",,,"Provincia",
2012,"munic","NMUNIC","ubicacion_geografica","geografia",,,"Municipio",
2012,"munic","I04","ubicacion_geografica","geografia",,,"Id. Municipio",
2012,"munic","REDCODEN","ubicacion_geografica","geografia",,,"Municipio",
2012,"vivienda","URBRUR","ubicacion_geografica","geografia",,,"Urbano / Rural",
2012,"vivienda","P01","vivienda_hogar","cuestionario","1",,"Tipo de vivienda",
2012,"vivienda","P02","vivienda_hogar","cuestionario","2",,"Condición de Ocupación de la vivienda",
2012,"vivienda","P03","materiales_construccion","cuestionario","3",,"Material de construcción más utilizado en las Paredes Exteriores",
2012,"vivienda","P04","materiales_construccion","cuestionario","4",,"Tiene Revoque las paredes interiores",
2012,"vivienda","P05","materiales_construccion","cuestionario","5",,"Material de construcción más utilizado en los Techos",
2012,"vivienda","P06","materiales_construccion","cuestionario","6",,"Material de construcción más utilizado en los Pisos",
2012,"vivienda","P07","servicios_basicos","cuestionario","7",,"Principalmente, de donde proviene el agua que utilizan",
2012,"vivienda","P08","servicios_basicos","cuestionario","8",,"Como se distribuye el agua que utilizan",
2012,"vivienda","P09","servicios_basicos","cuestionario","9",,"Tiene servicio santitario, baño o letrina",
2012,"vivienda","P10","servicios_basicos","cuestionario","10",,"El servicio sanitario, baño o letrina tiene desague",
2012,"vivienda","P11","servicios_basicos","cuestionario","11",,"De donde proviene la energía eléctrica",
2012,"vivienda","P12","servicios_basicos","cuestionario","12",,"Principal combustible o energía que utilizan para cocinar",
2012,"vivienda","P13","vivienda_hogar","cuestionario","13",,"Tiene un cuarto sólo para cocinar",
2012,"vivienda","P14","vivienda_hogar","cuestionario","14",,"Cuantas habitaciones ocupa el hogar, sin contar cuartos de baño y cocina",
2012,"vivienda","P15","vivienda_hogar","cuestionario","15",,"Del total de habitaciones en el hogar, cuantos se utilizan sólo para dormir",
2012,"vivienda","P16","servicios_basicos","cuestionario","16",,"Principalmente como eliminan la basura",
2012,"vivienda","P17A","tic","cuestionario","17.A",,"El hogar tiene Radio",
2012,"vivienda","P17B","tic","cuestionario","17.B",,"El hogar tiene Televisor",
2012,"vivienda","P17C","tic","cuestionario","17.C",,"El hogar tiene Computadora",
2012,"vivienda","P17D","tic","cuestionario","17.D",,"El hogar tiene Servicio de internet",
2012,"vivienda","P17E","tic","cuestionario","17.E",,"El hogar tiene Servico de telefonía fija o celular",
2012,"vivienda","P18A","equipamiento_hogar","cuestionario","18.A",,"El hogar tiene Vehículo automotor",
2012,"vivienda","P18B","equipamiento_hogar","cuestionario","18.B",,"El hogar tiene Bicicleta",
2012,"vivienda","P18C","equipamiento_hogar","cuestionario","18.C",,"El hogar tiene Motocicleta o cuadratrac",
2012,"vivienda","P18D","equipamiento_hogar","cuestionario","18.D",,"El hogar tiene Carreta o Carretón",
2012,"vivienda","P18E","equipamiento_hogar","cuestionario","18.E",,"El hogar tiene Deslizador, Balsa, Canoa o Bote",
2012,"vivienda","P19","vivienda_hogar","cuestionario","19",,"Condición de tenencia de la vivienda",
2012,"vivienda","P20B","emigracion_internacional","cuestionario","20.B",,"Cuantas personas viven en otro país",
2012,"vivienda","P22A","discapacidad","cuestionario","22.A",,"Hay personas con discapacidad",
2012,"persona","P23","poblacion","cuestionario","23",,"Relación de parentesco con jefa o jefe del hogar",
2012,"persona","P24","poblacion","cuestionario","24",,"¿Es mujer u hombre?",
2012,"persona","P27","ciudadania","cuestionario","27",,"Tiene carnet o cédula de identidad",
2012,"persona","P28A","salud_seguridad_social","cuestionario","28.A",,"Problemas de salud acude a: Caja de salud (CNS, COSSMIL, Otras)",
2012,"persona","P28B","salud_seguridad_social","cuestionario","28.B",,"Problemas de salud acude a: Seguro de salud Privado",
2012,"persona","P28C","salud_seguridad_social","cuestionario","28.C",,"Problemas de salud acude a: Establecimiento de salud Público",
2012,"persona","P28D","salud_seguridad_social","cuestionario","28.D",,"Problemas de salud acude a: Establecimiento de salud Privado",
2012,"persona","P28E","salud_seguridad_social","cuestionario","28.E",,"Problemas de salud acude a: Médico tradicional",
2012,"persona","P28F","salud_seguridad_social","cuestionario","28.F",,"Problemas de salud acude a: Soluciones caseras",
2012,"persona","P28G","salud_seguridad_social","cuestionario","28.G",,"Problemas de salud acude a: La farmacia o se automedica",
2012,"persona","P32A","migracion","cuestionario","32A",,"Donde nació",
2012,"persona","P32J","migracion","cuestionario","32D.D",,"Departamento o país de nacimiento",
2012,"persona","P33H","migracion","cuestionario","33.H",,"Departamento donde vive habitualmente",
2012,"persona","P34A","migracion","cuestionario","34.A",,"Donde vivía hace 5 años",
2012,"persona","P34H","migracion","cuestionario","34.H",,"Departamento donde vivía hace 5 años",
2012,"persona","P45","poblacion","cuestionario","45",,"Estado Civil",
2012,"persona","P46","fecundidad","cuestionario","46",,"Cuantas hijas e hijos nacidos vivos ha tenido",
2012,"persona","P47","fecundidad","cuestionario","47",,"De hijas e hijos nacidos vivos, cuántos viven actualmente",
2012,"persona","P49A","fecundidad","cuestionario","49.A",,"Vive actualmente, esta última hija(o)",
2012,"persona","P49B","fecundidad","cuestionario","49.B",,"Donde tuvo lugar su último parto",
2012,"persona","P43","caracteristicas_economicas","cuestionario","43",,"Categoria en el empleo",
2012,"persona","P30B","idiomas","cuestionario","30",,"Idioma que aprendió a hablar en su niñez",
2012,"persona","P31B1","idiomas","cuestionario","31",,"Idiomas que habla 1",
2012,"persona","P35","educacion","cuestionario","35",,"Sabe leer y escribir",
2012,"persona","P36","educacion","cuestionario","36",,"Asiste a una escuela o colegio",
2012,"persona","P37A_NIVELNUE","educacion","cuestionario","37.A",,"Nivel más alto de instrucción que aprobó",
2012,"persona","P42","caracteristicas_economicas","cuestionario","42.B",,"Grupo ocupacional (1 dígito)",
2012,"persona","P44","caracteristicas_economicas","cuestionario","44.B1",,"Actividad económica del establecimiento donde trabaja",
2012,"persona","PEA","caracteristicas_economicas","derivada",,,"Poblacion económicamente activa",
2012,"persona","PET","caracteristicas_economicas","derivada",,,"Poblacion en edad de trabajar",
2012,"persona","PEI","caracteristicas_economicas","derivada",,,"Poblacion económicamente inactiva",
2012,"emigracion","P20E","emigracion_internacional","cuestionario","20.E",,"Sexo",
2012,"emigracion","P20F","emigracion_internacional","cuestionario","20.F",,"Año de salida del pais",
2012,"emigracion","P20G","emigracion_internacional","cuestionario","20.G",,"A que edad se fue",
2012,"emigracion","P20J","emigracion_internacional","cuestionario","20.H",,"País donde vive actualmente",
2012,"discapacidad","P22D","discapacidad","cuestionario","22.D",,"Edad",
2012,"discapacidad","P22E","discapacidad","cuestionario","22.E",,"Sexo",
2012,"discapacidad","P22F1","discapacidad","cuestionario","22.F1",,"Dificultad para ver",
2012,"discapacidad","P22F3","discapacidad","cuestionario","22.F3",,"Dificultad de hablar",
2012,"discapacidad","P22F4","discapacidad","cuestionario","22.F4",,"Dificultad de caminar",
2012,"discapacidad","P22F5","discapacidad","cuestionario","22.F5",,"Dificultad de recordar",
2012,"persona","P25","poblacion","cuestionario","25",,"Cuantos años cumplidos tiene",
2012,"persona","P26","ciudadania","cuestionario","26.I",,"Su nacimiento está inscrito en el registro civil o cívico",
2012,"persona","P33A","migracion","cuestionario","33.A",,"Donde vive habitualmente",
2012,"persona","P29C","autoidentificacion","cuestionario","29.C",,"A cuál pertenece (A: Naciones o pueblos mayoritarios-B: Naciones o pueblos minoritarios contemplados en la ley del Régimen Electoral-C: Otros grupos poblacionales-D:Otro tipo de declaraciones)",
2012,"persona","area","ubicacion_geografica","geografia",,,"Área (urbana/rural)",
2012,"vivienda","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
2012,"vivienda","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
2012,"vivienda","imun","ubicacion_geografica","geografia",,,"Código de municipio",
2012,"persona","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
2012,"persona","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
2012,"persona","imun","ubicacion_geografica","geografia",,,"Código de municipio",
2012,"emigracion","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
2012,"emigracion","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
2012,"emigracion","imun","ubicacion_geografica","geografia",,,"Código de municipio",
2012,"discapacidad","idep","ubicacion_geografica","geografia",,,"Código de departamento (01-09)",
2012,"discapacidad","iprov","ubicacion_geografica","geografia",,,"Código de provincia",
2012,"discapacidad","imun","ubicacion_geografica","geografia",,,"Código de municipio",
