"tabla","variable","etiqueta","tipo","codigo","categoria"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","1","Jefa o jefe de hogar"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","2","Esposa(o), conviviente o concubina(o)"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","3","Hija o Hijo"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","4","Hijastra o Hijastro"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","5","Nuera o Yerno"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","6","Nieta o nieto"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","7","Hermana o Hermano"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","8","Cuñada o cuñado"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","9","Madre o Padre"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","10","Suegra o Suegro"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","11","Abuela o Abuelo"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","12","Otro Pariente"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","13","Trabajadora(or) del hogar y sus familiares"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","14","Otro no pariente"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","15","Persona en vivienda colectiva"
"persona","p24_parentes","24. Que parentesco tiene con la jefa o jefe del hogar","categorica","16","Persona que vive en la calle o en tránsito"
"persona","p25_sexo","25. Es mujer u hombre","categorica","1","Mujer"
"persona","p25_sexo","25. Es mujer u hombre","categorica","2","Hombre"
"persona","p26_edad","26. Cuantos años cumplidos tiene","categorica","100","100 y más"
"persona","p28_cn","28. Su nacimiento está inscrito en el registro civil boliviano","categorica","1","Sí"
"persona","p28_cn","28. Su nacimiento está inscrito en el registro civil boliviano","categorica","2","No"
"persona","p28_cn","28. Su nacimiento está inscrito en el registro civil boliviano","categorica","9","Sin especificar"
"persona","p29_ci","29. Tiene o tuvo cédula de identidad boliviana","categorica","1","Sí"
"persona","p29_ci","29. Tiene o tuvo cédula de identidad boliviana","categorica","2","No"
"persona","p29_ci","29. Tiene o tuvo cédula de identidad boliviana","categorica","3","Cédula Boliviana de extranjero"
"persona","p29_ci","29. Tiene o tuvo cédula de identidad boliviana","categorica","9","Sin especificar"
"persona","p30a_public","30.A. Cuando tiene problemas de salud acude a Puesto/centro/hospital de salud público","categorica","1","Sí"
"persona","p30a_public","30.A. Cuando tiene problemas de salud acude a Puesto/centro/hospital de salud público","categorica","2","No"
"persona","p30a_public","30.A. Cuando tiene problemas de salud acude a Puesto/centro/hospital de salud público","categorica","9","Sin especificar"
"persona","p30b_caja","30.B. Cuando tiene problemas de salud acude a Caja de salud","categorica","1","Sí"
"persona","p30b_caja","30.B. Cuando tiene problemas de salud acude a Caja de salud","categorica","2","No"
"persona","p30b_caja","30.B. Cuando tiene problemas de salud acude a Caja de salud","categorica","9","Sin especificar"
"persona","p30c_privad","30.C. Cuando tiene problemas de salud acude a Consultorio/clínica/hospital de salud privado","categorica","1","Sí"
"persona","p30c_privad","30.C. Cuando tiene problemas de salud acude a Consultorio/clínica/hospital de salud privado","categorica","2","No"
"persona","p30c_privad","30.C. Cuando tiene problemas de salud acude a Consultorio/clínica/hospital de salud privado","categorica","9","Sin especificar"
"persona","p30d_atedom","30.D. Cuando tiene problemas de salud acude a Atención médica en domicilio","categorica","1","Sí"
"persona","p30d_atedom","30.D. Cuando tiene problemas de salud acude a Atención médica en domicilio","categorica","2","No"
"persona","p30d_atedom","30.D. Cuando tiene problemas de salud acude a Atención médica en domicilio","categorica","9","Sin especificar"
"persona","p30e_tradic","30.E. Cuando tiene problemas de salud acude a Médica(o) tradicional ancestral","categorica","1","Sí"
"persona","p30e_tradic","30.E. Cuando tiene problemas de salud acude a Médica(o) tradicional ancestral","categorica","2","No"
"persona","p30e_tradic","30.E. Cuando tiene problemas de salud acude a Médica(o) tradicional ancestral","categorica","9","Sin especificar"
"persona","p30f_autome","30.F. Cuando tiene problemas de salud acude a Farmacia sin receta médica o se automedica","categorica","1","Sí"
"persona","p30f_autome","30.F. Cuando tiene problemas de salud acude a Farmacia sin receta médica o se automedica","categorica","2","No"
"persona","p30f_autome","30.F. Cuando tiene problemas de salud acude a Farmacia sin receta médica o se automedica","categorica","9","Sin especificar"
"persona","p30g_casera","30.G. Cuando tiene problemas de salud acude a Remedios caseros","categorica","1","Sí"
"persona","p30g_casera","30.G. Cuando tiene problemas de salud acude a Remedios caseros","categorica","2","No"
"persona","p30g_casera","30.G. Cuando tiene problemas de salud acude a Remedios caseros","categorica","9","Sin especificar"
"persona","p31_afiliado","31. Actualmente esta registrada(o) o afiliada(o) a:","categorica","1","(SUS) Sistema Único de Salud"
"persona","p31_afiliado","31. Actualmente esta registrada(o) o afiliada(o) a:","categorica","2","Caja Nacional de Salud, Caja Petrolera, Caja CORDES, Caja de la Banca Privada, COSSMIL, Seguro Universitario, otros"
"persona","p31_afiliado","31. Actualmente esta registrada(o) o afiliada(o) a:","categorica","3","Seguro privado de salud"
"persona","p31_afiliado","31. Actualmente esta registrada(o) o afiliada(o) a:","categorica","4","Ninguno"
"persona","p31_afiliado","31. Actualmente esta registrada(o) o afiliada(o) a:","categorica","9","Sin especificar"
"persona","p32_pueblo_per","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano","categorica","1","Sí"
"persona","p32_pueblo_per","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano","categorica","2","No"
"persona","p32_pueblo_per","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano","categorica","9","Sin Especificar"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","1","Afroboliviano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","2","Araona"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","3","Aymara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","4","Ayoreo"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","5","Baure"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","6","Canichana"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","7","Cavineño"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","8","Cayubaba"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","9","Chácobo"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","11","Chiquitano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","12","Ese Ejja"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","13","Guaraní"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","14","Guarasu´we"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","15","Gwarayu"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","16","Itonama"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","17","Joaquiniano"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","18","Kallawaya"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","19","Leco"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","20","Machineri"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","21","Maropa"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","22","Mojeño"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","23","Moré"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","24","Mosetén"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","25","Movima"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","26","Murato"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","27","Pacahuara"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","28","Quechua"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","29","Sirionó"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","30","Tacana"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","31","Tapiete"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","32","Tsimane´"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","33","Weenhayek"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","34","Yaminawa"
"persona","p32_pueblo_cod","32. Se autoidentifica con alguna nación pueblo indígena originario campesino o afroboliviano (Especifique)","categorica","35","Yuqui"
